module	operation	definition
host	HostIf::get_host_cpu_num	virtualization/axvisor_api/src/host.rs:68
host	HostIf::init_percpu	virtualization/axvisor_api/src/host.rs:72
console	ConsoleIf::write_bytes	virtualization/axvisor_api/src/console.rs:54
console	ConsoleIf::read_bytes	virtualization/axvisor_api/src/console.rs:59
memory	MemoryIf::alloc_frame	virtualization/axvisor_api/src/memory.rs:80
memory	MemoryIf::alloc_contiguous_frames	virtualization/axvisor_api/src/memory.rs:98
memory	MemoryIf::dealloc_frame	virtualization/axvisor_api/src/memory.rs:112
memory	MemoryIf::dealloc_contiguous_frames	virtualization/axvisor_api/src/memory.rs:129
memory	MemoryIf::phys_to_virt	virtualization/axvisor_api/src/memory.rs:147
memory	MemoryIf::virt_to_phys	virtualization/axvisor_api/src/memory.rs:165
task	TaskIf::spawn_task_raw	virtualization/axvisor_api/src/task.rs:59
task	TaskIf::join_task	virtualization/axvisor_api/src/task.rs:65
task	TaskIf::current_task	virtualization/axvisor_api/src/task.rs:68
task	TaskIf::yield_now	virtualization/axvisor_api/src/task.rs:71
sync	SyncIf::create_wait_queue	virtualization/axvisor_api/src/sync.rs:80
sync	SyncIf::destroy_wait_queue	virtualization/axvisor_api/src/sync.rs:83
sync	SyncIf::wait_queue_wait	virtualization/axvisor_api/src/sync.rs:86
sync	SyncIf::wait_queue_wait_until	virtualization/axvisor_api/src/sync.rs:89
sync	SyncIf::wait_queue_wake_one	virtualization/axvisor_api/src/sync.rs:92
sync	SyncIf::wait_queue_wake_all	virtualization/axvisor_api/src/sync.rs:95
time	TimeIf::current_time_nanos	virtualization/axvisor_api/src/time.rs:72
time	TimeIf::set_oneshot_timer	virtualization/axvisor_api/src/time.rs:78
irq	IrqIf::handle_irq	virtualization/axvisor_api/src/irq.rs:25
irq	IrqIf::register_irq_handler	virtualization/axvisor_api/src/irq.rs:30
arch	ArchIf::host_tsc_frequency_mhz	virtualization/axvisor_api/src/arch.rs:70
