service_class,service_name,VM_CREATE,VM_BOOT,STEADY_IDLE,STEADY_IO,VM_DESTROY,total
EVENT,HV_EVENT_CREATE,9,0,0,0,0,9
EVENT,HV_EVENT_POLL_INIT,2,0,0,0,0,2
EVENT,HV_EVENT_POLL_WAIT,978,19951,3,659789,0,680721
IO,HV_IO_BIND_EVENT,10,0,0,2,0,12
IO,HV_IO_CLOSE,115,0,0,7,0,122
IO,HV_IO_DEVICE_GET_ATTR,4,0,0,0,0,4
IO,HV_IO_FCNTL,20,0,0,5,0,25
IO,HV_IO_MMIO_COALESCED_REGISTER,22,0,0,0,0,22
IO,HV_IO_MMIO_COALESCED_UNREGISTER,10,0,0,0,0,10
IO,HV_IO_OPEN,124,0,0,1,0,125
IO,HV_IO_PREAD,8,0,0,0,0,8
IO,HV_IO_READ,291,2,0,114,0,407
IO,HV_IO_READV,1,0,0,0,0,1
IO,HV_IO_STAT,118,0,0,0,0,118
IO,HV_IO_WRITE,191,2,0,115,0,308
IO,HV_IO_WRITEV,320,344,0,2375,0,3039
IRQ,HV_IRQ_BIND_EVENT,2,0,0,2,0,4
IRQ,HV_IRQ_CHIP_CREATE,1,0,0,0,0,1
IRQ,HV_IRQ_CHIP_SET,3,0,0,0,0,3
IRQ,HV_IRQ_LAPIC_GET,2,0,0,0,0,2
IRQ,HV_IRQ_LAPIC_SET,1,0,0,0,0,1
IRQ,HV_IRQ_LINE_STATUS,4950,21912,2,671380,0,698244
IRQ,HV_IRQ_MSI_SIGNAL,3,0,0,0,0,3
IRQ,HV_IRQ_ROUTE_CONFIG,5,0,0,0,0,5
IRQ,HV_IRQ_VAPIC_SET_ADDR,1,0,0,0,0,1
MEMORY,HV_MEM_ADVISE,544,130,0,0,0,674
MEMORY,HV_MEM_ALLOC_BACKING,444,0,0,0,0,444
MEMORY,HV_MEM_DIRTY_LOG_READ,2,0,0,0,0,2
MEMORY,HV_MEM_FREE_BACKING,23,0,0,0,0,23
MEMORY,HV_MEM_HEAP_ADJUST,119,0,0,0,0,119
MEMORY,HV_MEM_MEMFD_CREATE,3,0,0,0,0,3
MEMORY,HV_MEM_PROTECT,449,0,0,0,0,449
MEMORY,HV_MEM_REGISTER_GPA_RANGE,88,0,0,0,0,88
MEMORY,HV_MEM_SET_IDENTITY_MAP,1,0,0,0,0,1
MEMORY,HV_MEM_SET_TSS,1,0,0,0,0,1
SIGNAL,HV_SIGNAL_HANDLER_SET,8,0,0,0,0,8
SIGNAL,HV_SIGNAL_MASK,40,1,0,4,0,45
SYNC,HV_SYNC_FUTEX,1449,552,0,3123,0,5124
THREAD,HV_THREAD_CREATE,3,0,0,0,0,3
THREAD,HV_THREAD_SIGNAL,7,0,0,2,0,9
TIMER,HV_CLOCK_CTRL,1,0,0,0,0,1
TIMER,HV_CLOCK_GET,1,0,0,1,0,2
TIMER,HV_CLOCK_SET,1,0,0,0,0,1
TIMER,HV_TIMER_PIT_CREATE,1,0,0,0,0,1
TIMER,HV_TIMER_PIT_GET,2,0,0,1,0,3
TIMER,HV_TIMER_PIT_SET,4,0,0,0,0,4
TIMER,HV_TIMER_SLEEP,53,2,0,0,0,55
TIMER,HV_TIMER_TSC_GET_FREQ,2,0,0,0,0,2
TIMER,HV_TIMER_TSC_SET_FREQ,1,0,0,0,0,1
VCPU,HV_VCPU_CPUID_QUERY,7,0,0,0,0,7
VCPU,HV_VCPU_CREATE,1,0,0,0,0,1
VCPU,HV_VCPU_ENTER,15657,1283,0,4685,0,21625
VCPU,HV_VCPU_GET_DEBUGREGS,2,0,0,0,0,2
VCPU,HV_VCPU_GET_EVENTS,2,0,0,0,0,2
VCPU,HV_VCPU_GET_MP_STATE,2,0,0,0,0,2
VCPU,HV_VCPU_GET_MSRS,13,0,0,1,0,14
VCPU,HV_VCPU_GET_REGS,2,0,0,0,0,2
VCPU,HV_VCPU_GET_SREGS,2,0,0,0,0,2
VCPU,HV_VCPU_GET_XCRS,2,0,0,0,0,2
VCPU,HV_VCPU_INJECT_SMI,11,0,0,0,0,11
VCPU,HV_VCPU_MMAP_SIZE_QUERY,1,0,0,0,0,1
VCPU,HV_VCPU_MSR_FEATURE_QUERY,2,0,0,0,0,2
VCPU,HV_VCPU_MSR_LIST_QUERY,2,0,0,0,0,2
VCPU,HV_VCPU_SET_CPUID,1,0,0,0,0,1
VCPU,HV_VCPU_SET_DEBUGREGS,3,0,0,0,0,3
VCPU,HV_VCPU_SET_EVENTS,3,0,0,0,0,3
VCPU,HV_VCPU_SET_MP_STATE,2,0,0,0,0,2
VCPU,HV_VCPU_SET_MSRS,8,0,0,0,0,8
VCPU,HV_VCPU_SET_REGS,3,0,0,0,0,3
VCPU,HV_VCPU_SET_SREGS,3,0,0,0,0,3
VCPU,HV_VCPU_SET_XCRS,3,0,0,0,0,3
VCPU,HV_VCPU_SET_XSAVE,3,0,0,0,0,3
VCPU,HV_VCPU_STATS_FD,1,0,0,0,0,1
VCPU,HV_VCPU_TPR_ACCESS_REPORTING,2,0,0,0,0,2
VCPU,HV_VCPU_X86_MCE_CAP_QUERY,1,0,0,0,0,1
VCPU,HV_VCPU_X86_MCE_SETUP,1,0,0,0,0,1
VCPU,HV_VCPU_X86_MSR_FILTER_SET,1,0,0,0,0,1
VM,HV_VM_CAPABILITY_QUERY,75,0,0,2,0,77
VM,HV_VM_CREATE,1,0,0,0,0,1
VM,HV_VM_ENABLE_CAP,6,0,0,0,0,6
